Judul,Penulis,Terbit
Forecasting Oil Production Using Kalman Filter,"N Fitriyati, S Darwis, AY Gunawan, AK Permadi","Proceedings Of The Third International Conference On Mathematics and Natural …, 2010"
Allocation of Tabarru's Funds in Endowment Premium,"N Fitriyati, Z Zharifah, DU Zulkifli","ZERO: Jurnal Sains, Matematika dan Terapan 7 (2), 110-116, 2024"
PERBANDINGAN METODE BACKWARD DAN FORWARD PADA SELEKSI MIXED-EFFECTS MODEL: ANALISIS FRAGILE STATE INDEX ASIA TENGGARA,"M Maulina, MY Wijaya, N Fitriyati","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
ANALISIS LAJU PREDIKSI INFLASI DI INDONESIA: PERBANDINGAN MODEL GARCH/ARCH DENGAN LONG SHORT TERM MEMORY,"A Mutiara, N Fitriyati, M Mahmudi","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
"Pengaruh Early Warning System, Return on Asset, dan Return on Equity Terhadap Kinerja Keuangan Perusahaan Asuransi Jiwa Konvensional dan Asuransi Jiwa Syariah","TA Emaras, DU Zulkifli, N Fitriyati","Innovative: Journal Of Social Science Research 4 (1), 1816-1830, 2024"
"PREDIKSI KINERJA KEUANGAN PERUSAHAAN ASURANSI SYARIAH MENGGUNAKAN METODE ARIMA, EXPONENTIAL SMOOTHING, DAN HYBRID","D Apriliani, N Fitriyati, DU Zulkifli","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2023"
ESTIMASI BAYESIAN PADA PARAMETER HUKUM MOTALITA GOMPERTZ MENGGUNAKAN ALGORITMA METROPOLIS-HASTINGS,"Y Eliskar, R Rustam, N Fitriyati, K Saleh","AXIOM: Jurnal Pendidikan dan Matematika 12 (2), 178-188, 2023"
Application Bootstrap to Estimate the Confidence Intervals of NO2 Levels in the Kriging Method,"N Fitriyati, Y Irene, B Azzahra","Jurnal EurekaMatika 11 (2), 121-132, 2023"
"Comparative Study of Data Generation for Normal, Lognormal, and Gamma Distributions using PLS and Usury Models","ZT Handarbeni, I Fauziah, N Fitriyati","Mathline: Jurnal Matematika dan Pendidikan Matematika 8 (4), 1449-1460, 2023"
"Tabarru’Fund Sharia Insurance Using The 2019 Mortality Table, Mortality Law and Cost of Insurance Method","FS Wulandari, I Fauziah, N Fitriyati","Mathline: Jurnal Matematika dan Pendidikan Matematika 8 (4), 1437-1448, 2023"
Relation Classification in Scientific Article Abstracts using SciBERT with Entity Marker,"N Inayah, M Liebenlito, N Fitriyati, M Manaqib, N Aryanti","2023 11th International Conference on Cyber and IT Service Management (CITSM …, 2023"
Forecasting Indonesian inflation using a hybrid ARIMA-ANFIS,"N Fitriyati, M Mahmudi, MY Wijaya, M Maysun","Desimal: Jurnal Matematika 5 (3), 289-304, 2022"
Forecasting domestic ship passengers in the Makassar Port using feed-forward neural network and SARIMAX,"N Fitriyati, MY Wijaya, MIF Pagri, N Inayah","AIP Conference Proceedings 2641 (1), 2022"
"Variasi spasial dan temporal nilai-b pada gempa bumi di wilayah Sulawesi Tengah, Gorontalo, dan sekitarnya menggunakan metode robust fitting","N Fitriyati, MY Wijaya, MA Bisyri","Majalah Ilmiah Matematika dan Statistika (MIMS) 22 (2), 177-195, 2022"
Detection of Heat Conduction Disturbance in Cylindrical-Shaped Metal Chip using Kalman Filter and Ensemble Kalman Filter,"N Fitriyati, GI Kusuma, I Fauziah","Proceedings of the International Conference on Mathematics and Islam (ICMIs …, 2020"
KLASIFIKASI JENIS PENYAKIT ERYTHEMATO-SQUAMOUS BERDASARKAN CIRI KLINIS DAN HISTOPATOLOGIS MENGGUNAKAN METODE ANALISIS DISKRIMINAN VERTEX,"N Nurmaleni, AP Rahayu, N Fitriyati","LOGIK@ 8 (2), 133-144, 2018"
APLIKASI FILTER KALMAN DAN FILTER ADAPTIF KULLBACK-LEIBLER PADA MODEL OTOREGRESIF ORDO PERTAMA,"H Hamzah, N Fitriyati","LOGIK@ 6 (2), 170-180, 2016"
Reserve estimation,"Sutawanir, AY Gunawan, AK Permadi, N Fitriyati","AIP Conference Proceedings 1589 (1), 436-439, 2014"
Exploring Decline Curve Residual Modeling using Kalman Filter,"N Fitriyati, S Darwis, AY Gunawan, AK Permadi",
EXPLORING EnKF CONVERGENCE FOR LINEAR DYNAMICAL SYSTEM,"N Fitriyati, S Darwis, AY Gunawan, AK Permadi","Advances and Applications in Statistics 32 (2), 151, 2013"
Estimating Oil Reservoir Permeability and Porosity from Two Interacting Wells,"AYG Sutawanir, N Fitriyati, I Fahmi, AS Rini Marwati","Journal of Mathematical and Fundamental Sciences 45 (2), 2013"
Exploring EnKF stability under different type reservoir model,"S Darwis, AY Gunawan, AK Mutaqin, N Fitriyati","AIP Conference Proceedings 1450 (1), 132-134, 2012"
Convergence Visualization of Enkf for Linear Dynamical System,"N Fitriyati, S Darwis, AY Gunawan, AK Permadi","Prosiding Konferensi Nasional Matematika (KNM) 2012, 565-564, 2012"
EnKF Estimation: Comparison of Analytical and Numerical Forecast Step,"N Fitriyati, S Darwis, AY Gunawan, AK Permadi","Far East Journal of Theoretical Statistics 36 (1), 117-128, 2011"
Updating Reservoir Models Using Ensemble Kalman Filter,"S Darwis, AY Gunawan, SRI WAHYUNINGSIH, N SUNUSI, AK Mutaqin, ...","Statistika 10 (1), 2010"
SEQUENTIAL NON-LINEAR MODEL UPDATING,"S Darwis, AY Gunawan, S Wahyuningsih, N Sunusi, AK Mutaqin, ...","Jurnal Mat Stat 10 (2), 160-167, 2010"
Use of Ensemble Kalman Filter for Bounded Reservoir,"S Darwis, AY Gunawan, S Wahyuningsih, N Sunusi, K Mutaqin, N Fitriyati","Pushpa Publishing House, 2010"
Penggunaan algoritma fuzzy simulated annealing dalam optimisasi penjadwalan multi constraint,N FITRIYATI,"Universitas Gadjah Mada, 2004"
"Majalah Ilmiah Matematika dan Statistika 22 (2), 2022, 247–265","N Fitriyati, MY Wijaya, MA Bisyri",
A Monte Carlo Simulation Study to Assess Estimation Methods in Confimatory Factor Analysis (CFA) on Ordinal Data,"N Fitriyati, MY Wijaya",
Topic modelling pada sosial media twitter terhadap vaksin covid menggunakan metode combined component approach (CCA),"M Liebenlito, N Fitriyati","Fakultas Sains dan Teknologi UIN Syarif HIdayatullah Jakarta, 0"
Alokasi dana tabarru’pada premi asuransi jiwa dwiguna,"N Fitriyati, DU Zulkifli","Fakultas Sains dan Teknologi UIN Syarif HIdayatullah Jakarta, 0"
Distribusi Weibull-Logistik,N Fitriyati,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Penerapan Jarak Mahalanobis dalam analisis SERVQUAL (Studi Kasus: Mahasiswa Pengunjung Perpustakaan Utama UIN Syarif Hidayatullah Jakarta),"N Fitriyati, B Ruswandi","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Prediksi Tingkat Inflasi di Indonesia Menggunakan Hybrid Arima-Anfis,N Fitriyati,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Estimation Parameter in Autoregressive Fractionally Integrated Moving Average Model in Predicting Wind Speed,"DI Octaviyani, MY Wijaya, N Fitriyati",
Peramalan curah hujan ekstrim menggunakan distribusi generalized extreme value Studi Kasus: Intensitas Curah Hujan Kota Semarang Tahun 2001-2012,"N Fitriyati, Y Irene","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Prediksi indeks harga konsumen di Kota Denpasar-Bali menggunakan metode adaptive neuro-fuzzy inference system anfis,"N Fitriyati, MY Wijaya","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Pengelompokan Negara Berdasarkan Kesamaan Karakteristik Demografi Menggunakan Algoritma Fuzzy C-mean Clustering,"N Fitriyati, M Kom","Fakultas Sains Dan Teknologi, 0"
Prediksi Model Curah Hujan Menggunakan Adaptive Neuro Fuzzy Inference System Di Daerah Serang Banten,"N Fitriyati, M Kom","Jakarta: Fak. Sains Dan Teknologi Uin Syarif Hidayatullah, 2009, 0"
Analisis logika fuzzy dengan metode mamdaani centroid dalam pengaturan lampu lalu lintas pada persimpangan air mancur monas Jakarta Pusat,N Fitriyati,"Jakarta: Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2007, 0"
"Model Vector Autoregressive (VAR) untuk pergerakan pesawat, penumpang, bagasi dan kargo: Studi kasus pada PT. Angkasa Pura 11 Bandara Soekarno Hatta Tahun 2007",N Fitriyati,"UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2008, 0"
"The estimation of excess mortality during the COVID-19 pandemic in Jakarta, Indonesia",MY Wijaya,"Kesmas: Jurnal Kesehatan Masyarakat Nasional (National Public Health Journal …, 2022"
"World Gold Price Forecast using APARCH, EGARCH and TGARCH Model","Y Irene, MY Wijaya, A Muhayani","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (2), 71-78, 2020"
Prediction of The Number of Ship Passengers in The Port of Makassar using ARIMAX Method in The Presence of Calender Variation,"LN Farih, I Fauziah, MY Wijaya","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (1), 57-67, 2019"
Estimation Parameter d in Autoregressive Fractionally Integrated Moving Average Model in Predicting Wind Speed,"DI Octaviyani, MY Wijaya, N Fitriyati","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 110-121, 2019"
Modified self-attentive bi-directional long-short term memory for detecting clickbait in Indonesian news headline,"M Liebenlito, I Ivansyah, MY Wijaya, RF Suwarman","AIP Conference Proceedings 3049 (1), 2024"
A monte carlo simulation study to assess estimation methods in cfa on ordinal data,"N Fitriyati, MY Wijaya","CAUCHY: Jurnal Matematika Murni Dan Aplikasi 7 (3), 332-344, 2022"
Energy Saving Potential Prediction and Anomaly Detection in College Buildings,"N Inayah, MY Wijaya, N Fitriyati","Proceedings of the International Conference on Mathematics and Islam (ICMIs …, 2020"
Non-linear Mixed Models in a Dose Response Modelling,MY Wijaya,"InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (1), 32-39, 2019"
PENERAPAN CROSS-VALIDATION PADA MODEL EFEK CAMPURAN: DAMPAK FAKTOR EKONOMI DAN KESEHATAN TERHADAP INDEKS KERENTANAN NEGARA-NEGARA DI ASIA TENGGARA,"JN Hanifa, MY Wijaya","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
IMPLEMENTASI ALGORITMA CNN MOBILENET UNTUK KLASIFIKASI GAMBAR SAMPAH DI BANK SAMPAH,"AR Fahcruroji, MY Wijaya, I Fauziah","PROSISKO: Jurnal Pengembangan Riset dan Observasi Sistem Komputer 11 (1), 45-51, 2024"
PERBANDINGAN METODE BACKWARD DAN FORWARD PADA SELEKSI MIXED-EFFECTS MODEL: ANALISIS FRAGILE STATE INDEX ASIA TENGGARA,"M Maulina, MY Wijaya, N Fitriyati","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
Trajectory of life expectancy and its relation with socio-economic indicators among developing countries in Southeast Asian,"MY Wijaya, Y Irene, I Rachadi","Proceedings of The International Conference on Data Science and Official …, 2023"
Multilevel zero inflated and hurdle models for under five-child mortality in Indonesia,MY Wijaya,"Asian Journal of Social Health and Behavior 6 (3), 126-132, 2023"
Forecasting Indonesian inflation using a hybrid ARIMA-ANFIS,"N Fitriyati, M Mahmudi, MY Wijaya, M Maysun","Desimal: Jurnal Matematika 5 (3), 289-304, 2022"
Forecasting domestic ship passengers in the Makassar Port using feed-forward neural network and SARIMAX,"N Fitriyati, MY Wijaya, MIF Pagri, N Inayah","AIP Conference Proceedings 2641 (1), 2022"
Relative Importance Analysis for Psychological Research,MY Wijaya,"JP3I (Jurnal Pengukuran Psikologi dan Pendidikan Indonesia) 10 (1), 12-19, 2021"
A Monte Carlo Simulation Study to Assess Estimation Methods in Confimatory Factor Analysis (CFA) on Ordinal Data,"N Fitriyati, MY Wijaya",
"Majalah Ilmiah Matematika dan Statistika 22 (2), 2022, 177–195","N Fitriyati, MY Wijaya, MA Bisyri",
"Majalah Ilmiah Matematika dan Statistika 22 (2), 2022, 247–265","N Fitriyati, MY Wijaya, MA Bisyri",
Estimation Parameter in Autoregressive Fractionally Integrated Moving Average Model in Predicting Wind Speed,"DI Octaviyani, MY Wijaya, N Fitriyati",
Prediksi indeks harga konsumen di Kota Denpasar-Bali menggunakan metode adaptive neuro-fuzzy inference system anfis,"N Fitriyati, MY Wijaya","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Modifikasi self-attentive bi-directional long short term memory untuk mendeteksi clickbait pada headline berita berbahasa Indonesia,"M Liebenlito, MY Wijaya","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Perhitungan Cadangan Premi Bersih Tahunan Asuransi Kesehatan Individu Perawatan Rumah Sakit dengan menggunakan Distribusi Eksponensial dan Distribusi Log-Logistik,"I Fauziah, MY Wijaya","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
"On (a, d)-H-antimagic coverings of graphs","N Inayah, ANM Salman, R Simanjuntak","Journal of combinatorial mathematics and combinatorial computing 71 (273 …, 2009"
"Super (a, d)-H-antimagic total labelings for shackles of a connected graph H.","N Inayah, R Simanjuntak, ANM Salman, KIA Syuhada","Australas. J Comb. 57, 127-138, 2013"
Magic and antimagic H-decompositions,"N Inayah, A Lladó, J Moragas","Discrete Mathematics 312 (7), 1367-1371, 2012"
"Pelabelan (a, d)-H-Anti Ajaib pada Beberapa Kelas Graf",N Inayah,"Desertas i Not Publicated. Bandung: Institut Tecnologi Bandung, 2013"
Model matematika penyebaran penyakit pulmonary tuberculosis dengan penggunaan masker medis,"N Inayah, M Manaqib, N Fitriyati, I Yupinto","Barekeng: Jurnal Ilmu Matematika dan Terapan 14 (3), 461-472, 2020"
"Pengantar Kewirausahaan: Mengenal, Memahami, dan Mencintai Dunia Bisnis","N Inayah, AT Nugraha, MIS Musti","Penerbit Andi, 2021"
"Pelabelan (a, d)− H",N Inayah,"Anti Ajaib pada Beberapa Kelas Graf, Disertasi, Institut Teknologi Bandung …, 2013"
Another antimagic decomposition of generalized peterzen graph,"N Inayah, MIS Musti, SN Masyithoh","InPrime: Indonesian Journal of Pure and Applied Mathematics 3 (2), 92-100, 2021"
On super mean labeling for total graph of path and cycle,"N Inayah, IW Sudarsana, S Musdalifah, N Daeng Mangesa","International Journal of Mathematics and Mathematical Sciences 2018, 2018"
The locating chromatic number of book graph,"N Inayah, W Aribowo, MM Windra Yahya","Journal of Mathematics 2021, 1-3, 2021"
Classification of falciparum parasite in human red blood cells using randomly wired neural network,"N Inayah, M Liebenlito, N Fitriyati, K Monardo","2020 8th International Conference on Cyber and IT Service Management (CITSM …, 2020"
Modified Firefly Algorithm using Smallest Position Value for Job-Shop Schedulling Problems,"AW Muhaza Liebenlito, Nur Inayah, Aisyah Nur Rahmah","Proceedings of the International Conference on Mathematics and Islam ICMIS 1 …, 2018"
Total Product and Total Edge Product Cordial Labelings of Dragonfly Graph,"N Inayah, A Erfanian, M Korivand","Journal of Mathematics 2022, 2022"
Furrow irrigation infiltration in various soil types using dual reciprocity boundary element method,"N Inayah, M Manaqib, WN Majid","AIP Conference Proceedings 2329 (1), 2021"
Comparative analysis of performance K-nearest neighbor and weighted K-nearest neighbor combined with global encoding in predicting protein-protein interaction human …,"MISM N. Inayah, I. P. P. Lestari","AIP Conference Proceedings, 1-8, 2020"
Comparative analysis of performance K-nearest neighbor and weighted K-nearest neighbor combined with global encoding in predicting protein-protein interaction human …,"MISM N. Inayah, I. P. P. Lestari","AIP Conference Proceedings 2242 (1), 030013, 2020"
Energy Saving Potential Prediction and Anomaly Detection in College Buildings,MYWNF Nur Inayah,"Proceedings of the International Conference on Mathematics and Islam ICMIs 1 …, 2018"
"PELABELAN TOTAL (a, d)-C_3-ANTIAJAIB SUPER PADA GRAF ULAR S_n","L Rezekina, N Inayah, Y Irene","LOGIK@ 6 (1), 42-52, 2016"
Active learning on Indonesian Twitter sentiment analysis using uncertainty sampling,"M Liebenlito, N Inayah, E Choerunnisa, TE Sutanto, S Inna","Journal of Applied Data Sciences 5 (1), 114-121, 2024"
"On {0, 1}-distance labeling of 2-regular graphs","AAG Ngurah, N Inayah","AIP Conference Proceedings 2975 (1), 2023"
Relation Classification in Scientific Article Abstracts using SciBERT with Entity Marker,"N Inayah, M Liebenlito, N Fitriyati, M Manaqib, N Aryanti","2023 11th International Conference on Cyber and IT Service Management (CITSM …, 2023"
Forecasting domestic ship passengers in the Makassar Port using feed-forward neural network and SARIMAX,"N Fitriyati, MY Wijaya, MIF Pagri, N Inayah","AIP Conference Proceedings 2641 (1), 2022"
"Mathematics Model of COVID-19 with Two-Stage Vaccination, Symptomatic, Asymptomatic, and Quarantine Individuals","N Inayah, M Manaqib, MF Fadillah","CAUCHY: Jurnal Matematika Murni dan Aplikasi 7 (3), 370-383, 2022"
On H-antimagic coverings for m-shadow and closed m-shadow of connected graphs,"N Inayah, F Susanto, A Semaničová-Feňovčíková","Heliyon 7 (10), 2021"
Research Article The Locating Chromatic Number of Book Graph,"N Inayah, W Aribowo, MMW Yahya",
Relationship magic between antimagic,"N Inayah, ANM Salman, R Simanjuntak, KIA Syuhada","Ars Combinatoria 151, 49-56, 2020"
PERBANDINGAN HASIL KLASIFIKASI JENIS PENYAKIT ERYTHEMATO-SQUAMOUS MENGGUNAKAN ANALISIS DISKRIMINAN FISHER DENGAN PEREDUKSIAN ANALISIS KOMPONEN UTAMA KERNEL LINEAR DAN ANALISIS …,"K Rosa, N Nurmaleni, N Inayah","LOGIK@ 8 (2), 151-165, 2018"
Research Article On Super Mean Labeling for Total Graph of Path and Cycle,"N Inayah, IW Sudarsana, S Musdalifah, ND Mangesa",
"Super (a,d)-cycle-antimagic total labelings for the vertex and edge amalgamation of n copies of isomorphic cycles","RS N. Inayah, A.N.M. Salman","Proceeding 3rd International Conference and Workshop on Basic and Applied …, 2011"
"Penentuan harga opsi tipe eropa menggunakan metode beda hingga eksplisit, implisit, crank-nicolson dan binomial","N Valentika, N Inayah","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
"Pelabelan Total (𝒂, 𝒅)-𝑪𝟑-Antiajaib Super pada Graf Ular 𝒎𝑺𝒏","N Inayah, Y Irene","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Analisis cluster terhadap klasifikasi Madrasah Tsanawiyah Wilayah DKI Jakarta Tahun 2007-2008,"H Setiawan, N Inayah","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
On 𝐻-antimagic coverings for 𝑚-shadow and closed 𝑚-shadow of connected graphs,"N Inayah, F Susanto, A Semanicová-Fenovcíková",
Klasifikasi interaksi protein Sars-Coronavirus-2 dengan protein MANUSIA menggunakan random forest,"N Inayah, M Liebenlito","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Efektifitas hipahul qur'an dalam meningkatkan prestasi belajar siswa pada mata pelajaran terhadap di Sd almuhin jaksel,N Inayah,"Jakarta: Fakultas Ilmu Tarbiyah dan Keguruan UIN Syarif Hidayatullah, 2014, 0"
Peer Review Paper 9,"N Inayah, S Maryani",
Statistika tanpa stres,"S Abdullah, TE Sutanto","TransMedia, 2015"
E.(2015),"S Abdullah, T Sutanto","Perbandingan Prestasi Belajar Siswa Antara Kurikulum, 360-370, 2013"
ADMRG @ MediaEval 2013 Social Event Detection,"T Sutanto, R Nayak","Proceedings of MediaEval Workshop 2013 1043, 2013"
Fine-grained document clustering via ranking and its application to social media analytics,"T Sutanto, R Nayak","Social Network Analysis and Mining 8 (1), 29, 2018"
The ranking based constrained document clustering method and its application to social event detection,"T Sutanto, R Nayak","Database Systems for Advanced Applications: 19th International Conference …, 2014"
Ranking Based Clustering for Social Event Detection.,"T Sutanto, R Nayak","MediaEval, 2014"
Web Traffic Anomaly Detection using Stacked Long Short-Term Memory,"NF Rahman, Fathu, Taufik Edy Sutanto","Indonesian Journal of Pure and Applied Mathematics 3 (2), 112-121, 2021"
Statistika Tanpa Stres,"TE Sutanto, S Abdullah","Jakarta: TransMedia Pustaka, 2015"
Semi-supervised document clustering via loci,"T Sutanto, R Nayak","Web Information Systems Engineering–WISE 2015: 16th International Conference …, 2015"
Model pergerakan tumpahan minyak di perairan selat sunda,"A Salim, TE Sutanto","CAUCHY: Jurnal Matematika Murni dan Aplikasi 3 (2), 99-107, 2014"
Empirical evaluation on discounted Thompson sampling for multi-armed bandit problem with piecewise-stationary Bernoulli arms,"FC Asyuraa, S Abdullah, TE Sutanto","Journal of Physics: Conference Series 1722 (1), 012096, 2021"
Analisis Tweet Politik-Keagamaan pada Hasil Pemilihan Presiden Indonesia tahun 2014 dan 2019: Sebuah Studi Eksploratif,"PD Zain, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 13 (1), 2024"
Active learning on Indonesian Twitter sentiment analysis using uncertainty sampling,"M Liebenlito, N Inayah, E Choerunnisa, TE Sutanto, S Inna","Journal of Applied Data Sciences 5 (1), 114-121, 2024"
Efektivitas Variabel Demografi Pengguna Twitter dalam Prediksi Pilpres Indonesia 2014 dan 2019,"MM Effendy, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 12 (6), 2023"
Trend analysis of Islamic educational institutions on Indonesian social media in 2018–2023,"AN Safitri, TE Sutanto, I Fauziah","Jurnal Mantik 7 (3), 2400-2410, 2023"
Studi Empiris Model BERT dan DistilBERT Analisis Sentimen pada Pemilihan Presiden Indonesia,"M Putri, TE Sutanto, S Inna","Indonesian Journal of Computer Science 12 (5), 2023"
Deteksi Kepribadian MBTI pada Diskusi Agama Islam di Twitter Indonesia 2009-2019,"NA Fitri, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 12 (5), 2023"
Klasifikasi Usia Berdasarkan Suara Dengan Ekstraksi Ciri Mel Frequency Cepstral Coefficients Menggunakan Support Vector Machine,"M Oktaviani, TE Sutanto, M Mahmudi","Kesatria: Jurnal Penerapan Sistem Informasi (Komputer dan Manajemen) 4 (4 …, 2023"
Analisa Pemodelan Topik Berita Daring Menggunakan Semi-Supervised dan Fully Unsupervised Latent Dirichlet Allocation,"KF Nurdin, TE Sutanto, A Santoso","Jurnal Pendidikan Tambusai 7 (2), 8043-8055, 2023"
taudata Kelas 35 administrasi pusat data dalam bidang data besar (big data); layanan bisnis terkait dengan bidang analisa data dan data besar (big data); layanan untuk analisa …,TE Sutanto,"ID Patent IPT2,023,002,053, 2023"
Loci-Based Fast Document Clustering Approximation Via Ranking,TE Sutanto,"ID Patent EC00,202,316,580, 2023"
Module Pembelajaran Analisis Eksplorasi Data,TE Sutanto,"ID Patent EC00,202,316,575, 2023"
Detecting Hot Spots Using GIS Analysis: Case Study of Indonesia's Political Opposition Hashtag,"B Ruswandi, Z Zulkifli, R Raspiani, TE Sutanto","2021 9th International Conference on Cyber and IT Service Management (CITSM …, 2021"
Fast Knowledge Discovery in Social Media Data using Clustering via Ranking,"T Sutanto, R Nayak","2021 9th International Conference on Cyber and IT Service Management (CITSM …, 2021"
Pedoman Statistika Ria dan Festival Sains Data (SATRIA DATA) tahun 2021,"A Djuraidah, ET Astuti, A Efendi, A Abdurakhman, E Widodo, IW Mangku, ...","Pusat Prestasi Nasional, 2021"
Pendahuluan Metode Numerik Menggunakan Python,TE Sutanto,"ID Patent EC00,202,022,009, 2020"
Modul Kuliah Aplikasi Data Mining Dalam Sains Dan Bisnis,TE Sutanto,"ID Patent EC00,202,021,852, 2020"
Program Komputer Python Notebook Untuk Text Mining dan Social Media Analytics,TE Sutanto,"ID Patent EC00,201,811,413, 2018"
Scalable fine-grained document clustering via ranking,TE Sutanto,"Queensland University of Technology, 2017"
Analissi permasalahan kualitas akademis program studi matematika fst uin syarif hidayatullah jakarta menggunakan metode six sigma,TE Sutanto,"Fakultas Sains Dan Teknologi, 2010"
Sistem informasi peningkatan kualitas pendidikan menggunakan pendekatan six sigma,TE Sutanto,"Uin Syarif Hidayatullah. Fakultas Sains Dan Teknologi, 2010"
Identifikasi Barcode Mie Instant Menggunakan Algoritma Backpropagation,TE Sutanto,"Jakarta: Fak. Sains Teknologi Uin Syarif Hidayatullah, 2009, 0"
Kajian algoritma genetika pada persamaan nonlinier,TE Sutanto,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Analisis model lstm dalam peramalan sistem dinamis chaotic persamaan diferensial keuangan,TE Sutanto,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Quality control untuk produksi kertas PT X Paper Products Menggunakan metode Six Sigma,TE Sutanto,"UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi UIN Syarif …, 0"
Mathematical model for MERS-COV disease transmission with medical mask usage and vaccination,"M Manaqib, I Fauziah, M Mujiyanti","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 97-109, 2019"
Model matematika penyebaran COVID-19 dengan penggunaan masker kesehatan dan karantina,"M Manaqib, I Fauziah, E Hartati","Jambura Journal of Biomathematics (JJBM) 2 (2), 68-79, 2021"
"Model matematika penyebaran penyakit coronavirus disease 2019 covid-19 dengan vaksinasi, isolasi mandiri, dan karantina di Rumah Sakit",M Azizah,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 2021"
Analysis Infiltration Waters in Various Forms of Irrigation Channels by Using Dual Reciprocity Boundary Element Method,"A Nurhasanah, M Manaqib, I Fauziah","Jurnal Matematika “MANTIK 6, 52-65, 2020"
Prediction of The Number of Ship Passengers in The Port of Makassar using ARIMAX Method in The Presence of Calender Variation,"LN Farih, I Fauziah, MY Wijaya","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (1), 57-67, 2019"
Evaluasi Premi Polis Last Survivor Pasangan Suami Istri Menggunakan Metode Copula Frank,I Fauziah,"CAUCHY: Jurnal Matematika Murni dan Aplikasi 3 (1), 42-48, 2013"
The Constant Annual Premium and Benefit Reserve for Four Participants in Joint Life Insurance,"N Nadilia, N Fitriyati, I Fauziah","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (2), 97-104, 2020"
Perhitungan cadangan manfaat asuransi jiwa endowmen semikontinu menggunakan metode full preliminary term,N Amalia,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 2020"
Perhitungan Premi Asuransi Jiwa Dwiguna Pasutri Sebagai Penerapan Pembelajaran Matematika Ekonomi,I Fauziah,"Phenomenon: Jurnal Pendidikan MIPA 3 (1), 99-117, 2013"
"Operator Solusi Model Fluida Termampatkan Tipe Korteweg Dengan Kondisi Batas Slip di Half-Space Kasus Koefisien ((μ+ ν)/(2 κ))^ 2-(1/κ)> 0, κ= μ ν, μ≠ ν","S Inna, I Fauziah, M Manaqib, PM Putri","Limits: Journal of Mathematics and Its Applications 20 (2), 191-208, 2023"
Pemodelan matematika penyebaran penyakit Middle East Respiratory Syndrome Corona Virus (MERS-CoV) dengan penggunaan masker kesehatan dan vaksinasi,"I Fauziah, M Manaqib","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 2020"
Analisis Pengaruh Faktor-Faktor Risiko Penyakit Difteri Terhadap Mortalitas Pasien di Indonesia Tahun 2017 Menggunakan Regresi Zero-Inflated Negative Binomial,A Ekawati,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 2019"
"Hubungan Profesionalisme, Motivasi Dan Gaya Kepemimpinan Partisifatif Terhadap Produktivitas Kerja Dosen Menggunakan Metode Generalized Structured Component Analysis (SEM-GSCA)","AD Ristianto, I Fauziah","LOGIK@ 6 (2), 112-130, 2016"
